name	acquisition.price_amount	image.available_sizes[1]	image.available_sizes[1][1]	_id
"Elca Solutions"				{ "$oid" : "52cdef7e4bab8bd67529b4da" }
"TrewCap"				{ "$oid" : "52cdef7e4bab8bd67529b4db" }
"Car Sale Hub"		 [ [ 184, 164 ], "assets/images/resized/0003/9285/39285v2-max-250x250.png" ]	 "assets/images/resized/0003/9285/39285v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4dc" }
"CMS Critic"		 [ [ 250, 68 ], "assets/images/resized/0003/9287/39287v7-max-250x250.png" ]	 "assets/images/resized/0003/9287/39287v7-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4dd" }
"Tangible Express"		 [ [ 250, 33 ], "assets/images/resized/0006/6218/66218v1-max-250x250.png" ]	 "assets/images/resized/0006/6218/66218v1-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4de" }
"RichContent"		 [ [ 250, 58 ], "assets/images/resized/0009/9281/99281v1-max-250x250.jpg" ]	 "assets/images/resized/0009/9281/99281v1-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4df" }
"Kapitall"		 [ [ 250, 49 ], "assets/images/resized/0003/9331/39331v1-max-250x250.jpg" ]	 "assets/images/resized/0003/9331/39331v1-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4e0" }
"UltraDevices"				{ "$oid" : "52cdef7e4bab8bd67529b4e1" }
"Grindr"		 [ [ 208, 199 ], "assets/images/resized/0003/9349/39349v10-max-250x250.png" ]	 "assets/images/resized/0003/9349/39349v10-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4e2" }
"SportsSignup"		 [ [ 250, 65 ], "assets/images/resized/0038/6439/386439v1-max-250x250.png" ]	 "assets/images/resized/0038/6439/386439v1-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4e3" }
"eteamz"		 [ [ 223, 69 ], "assets/images/resized/0016/4099/164099v1-max-250x250.jpg" ]	 "assets/images/resized/0016/4099/164099v1-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4e4" }
"Signup Anytime"		 [ [ 250, 69 ], "assets/images/resized/0003/9353/39353v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9353/39353v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4e5" }
"ICorp Investigations"		 [ [ 250, 86 ], "assets/images/resized/0003/9355/39355v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9355/39355v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4e6" }
"NovoLogic"		 [ [ 250, 156 ], "assets/images/resized/0003/9359/39359v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9359/39359v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4e7" }
"Home-Account"	null	 [ [ 250, 59 ], "assets/images/resized/0003/9360/39360v4-max-250x250.png" ]	 "assets/images/resized/0003/9360/39360v4-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4e8" }
"goviral"	null	 [ [ 192, 167 ], "assets/images/resized/0003/9366/39366v3-max-250x250.jpg" ]	 "assets/images/resized/0003/9366/39366v3-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4e9" }
"Freshview"		 [ [ 208, 83 ], "assets/images/resized/0003/9368/39368v1-max-250x250.png" ]	 "assets/images/resized/0003/9368/39368v1-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4ea" }
"Setster"		 [ [ 120, 42 ], "assets/images/resized/0003/9369/39369v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9369/39369v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4eb" }
"Riffly"		 [ [ 115, 40 ], "assets/images/resized/0003/9372/39372v2-max-250x250.png" ]	 "assets/images/resized/0003/9372/39372v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4ec" }
"Niche Directory Platform"				{ "$oid" : "52cdef7e4bab8bd67529b4ed" }
"Recall Media Group"		 [ [ 250, 167 ], "assets/images/resized/0009/1367/91367v2-max-250x250.jpg" ]	 "assets/images/resized/0009/1367/91367v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4ee" }
"DNZoom"		 [ [ 250, 74 ], "assets/images/resized/0011/2253/112253v1-max-250x250.jpg" ]	 "assets/images/resized/0011/2253/112253v1-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4ef" }
"Grouputer"		 [ [ 250, 77 ], "assets/images/resized/0003/9376/39376v2-max-250x250.png" ]	 "assets/images/resized/0003/9376/39376v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4f0" }
"Ampley"		 [ [ 250, 96 ], "assets/images/resized/0003/9528/39528v2-max-250x250.png" ]	 "assets/images/resized/0003/9528/39528v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4f1" }
"Arimaz"		 [ [ 250, 83 ], "assets/images/resized/0003/9383/39383v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9383/39383v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4f2" }
"Umoo"		 [ [ 156, 56 ], "assets/images/resized/0003/9522/39522v1-max-250x250.jpg" ]	 "assets/images/resized/0003/9522/39522v1-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4f3" }
"Smart E-Commerce"		 [ [ 250, 31 ], "assets/images/resized/0003/9385/39385v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9385/39385v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4f4" }
"OBRA Incorporated"		 [ [ 150, 200 ], "assets/images/resized/0003/9387/39387v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9387/39387v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4f5" }
"mjunction services limite"		 [ [ 62, 30 ], "assets/images/resized/0003/9390/39390v2-max-250x250.png" ]	 "assets/images/resized/0003/9390/39390v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4f6" }
"Keroch"		 [ [ 250, 71 ], "assets/images/resized/0004/1564/41564v1-max-250x250.png" ]	 "assets/images/resized/0004/1564/41564v1-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4f7" }
"MCLA The Lax Mag"	null	 [ [ 250, 181 ], "assets/images/resized/0003/9397/39397v2-max-250x250.png" ]	 "assets/images/resized/0003/9397/39397v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4f8" }
"hop2home"		 [ [ 168, 111 ], "assets/images/resized/0003/9398/39398v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9398/39398v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4f9" }
"AmberBit"				{ "$oid" : "52cdef7e4bab8bd67529b4fa" }
"Kneaver"		 [ [ 250, 96 ], "assets/images/resized/0003/9427/39427v2-max-250x250.png" ]	 "assets/images/resized/0003/9427/39427v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4fb" }
"TumTum"				{ "$oid" : "52cdef7e4bab8bd67529b4fc" }
"D2V"				{ "$oid" : "52cdef7e4bab8bd67529b4fd" }
"Republic Project"	1400000	 [ [ 120, 74 ], "assets/images/resized/0003/9449/39449v8-max-250x250.png" ]	 "assets/images/resized/0003/9449/39449v8-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b4fe" }
"ContractPal"		 [ [ 250, 178 ], "assets/images/resized/0004/0430/40430v2-max-250x250.jpg" ]	 "assets/images/resized/0004/0430/40430v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b4ff" }
"ProtoShare"		 [ [ 250, 27 ], "assets/images/resized/0003/9454/39454v4-max-250x250.png" ]	 "assets/images/resized/0003/9454/39454v4-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b500" }
"GameChanger Media"		 [ [ 250, 187 ], "assets/images/resized/0003/9458/39458v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9458/39458v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b501" }
"Snipi"		 [ [ 250, 100 ], "assets/images/resized/0003/9459/39459v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9459/39459v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b502" }
"FileFront"	2000000	 [ [ 226, 104 ], "assets/images/resized/0003/9463/39463v1-max-250x250.png" ]	 "assets/images/resized/0003/9463/39463v1-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b503" }
"DashGo"		 [ [ 250, 127 ], "assets/images/resized/0003/9471/39471v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9471/39471v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b504" }
"Sports Pickle"	null	 [ [ 250, 42 ], "assets/images/resized/0004/0145/40145v1-max-250x250.png" ]	 "assets/images/resized/0004/0145/40145v1-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b505" }
"Raptor Technologies"		 [ [ 200, 71 ], "assets/images/resized/0003/9516/39516v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9516/39516v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b506" }
"SuperSwitcher"		 [ [ 250, 51 ], "assets/images/resized/0003/9520/39520v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9520/39520v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b507" }
"GazetMe"		 [ [ 250, 50 ], "assets/images/resized/0003/9521/39521v2-max-250x250.png" ]	 "assets/images/resized/0003/9521/39521v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b508" }
"Accendra"	null			{ "$oid" : "52cdef7e4bab8bd67529b509" }
"Greetz"		 [ [ 93, 112 ], "assets/images/resized/0003/9525/39525v1-max-250x250.png" ]	 "assets/images/resized/0003/9525/39525v1-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b50a" }
"Reverb Technologies"		 [ [ 140, 147 ], "assets/images/resized/0005/1977/51977v5-max-250x250.png" ]	 "assets/images/resized/0005/1977/51977v5-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b50b" }
"GL Associates"		 [ [ 178, 149 ], "assets/images/resized/0007/1948/71948v2-max-250x250.jpg" ]	 "assets/images/resized/0007/1948/71948v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b50c" }
"Positive Results"				{ "$oid" : "52cdef7e4bab8bd67529b50d" }
"Brace Bond"				{ "$oid" : "52cdef7e4bab8bd67529b50e" }
"Acumen Management Group"		 [ [ 240, 78 ], "assets/images/resized/0003/9527/39527v2-max-250x250.png" ]	 "assets/images/resized/0003/9527/39527v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b50f" }
"Pleth"		 [ [ 250, 29 ], "assets/images/resized/0003/9530/39530v2-max-250x250.jpg" ]	 "assets/images/resized/0003/9530/39530v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b510" }
"BlitzLocal"		 [ [ 250, 72 ], "assets/images/resized/0003/9534/39534v5-max-250x250.png" ]	 "assets/images/resized/0003/9534/39534v5-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b511" }
"iRebal"		 [ [ 250, 138 ], "assets/images/resized/0017/5396/175396v1-max-250x250.jpg" ]	 "assets/images/resized/0017/5396/175396v1-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b512" }
"Tamarac"	54000000	 [ [ 230, 79 ], "assets/images/resized/0006/6211/66211v1-max-250x250.png" ]	 "assets/images/resized/0006/6211/66211v1-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b513" }
"RedBlack Software"		 [ [ 150, 60 ], "assets/images/resized/0006/5396/65396v2-max-250x250.jpg" ]	 "assets/images/resized/0006/5396/65396v2-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b514" }
"BusinessNameUSA"				{ "$oid" : "52cdef7e4bab8bd67529b515" }
"Klezio"				{ "$oid" : "52cdef7e4bab8bd67529b516" }
"Vae Victis"		 [ [ 189, 132 ], "assets/images/resized/0012/0785/120785v1-max-250x250.jpg" ]	 "assets/images/resized/0012/0785/120785v1-max-250x250.jpg" 	{ "$oid" : "52cdef7e4bab8bd67529b517" }
"highdefnow"		 [ [ 250, 64 ], "assets/images/resized/0003/9541/39541v2-max-250x250.png" ]	 "assets/images/resized/0003/9541/39541v2-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b518" }
"Sky Board"				{ "$oid" : "52cdef7e4bab8bd67529b519" }
"Trend Micro"		 [ [ 157, 67 ], "assets/images/resized/0004/2974/42974v1-max-250x250.png" ]	 "assets/images/resized/0004/2974/42974v1-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b51a" }
"Kaspersky"				{ "$oid" : "52cdef7e4bab8bd67529b51b" }
"PC Tools"	null	 [ [ 180, 64 ], "assets/images/resized/0005/8036/58036v1-max-250x250.png" ]	 "assets/images/resized/0005/8036/58036v1-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b51c" }
"Malwarebytes"		 [ [ 250, 60 ], "assets/images/resized/0015/7091/157091v4-max-250x250.png" ]	 "assets/images/resized/0015/7091/157091v4-max-250x250.png" 	{ "$oid" : "52cdef7e4bab8bd67529b51d" }
